"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"12/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"13/01/2025";"0000";"19,3";"81,0";"928,1";"3,6";"130,0";"10,0";"";"23,2";"";""
"13/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"13/01/2025";"0600";"18,1";"83,0";"927,4";"2,6";"130,0";"8,8";"";"";"";""
"13/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"13/01/2025";"1200";"20,0";"71,0";"928,6";"3,6";"120,0";"8,8";"";"";"17,2";"0,1"
"13/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"13/01/2025";"1800";"22,0";"65,0";"927,0";"3,6";"160,0";"10,0";"";"";"";""
"13/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"14/01/2025";"0000";"18,3";"73,0";"928,2";"2,6";"140,0";"3,8";"";"22,7";"";""
"14/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"14/01/2025";"0600";"14,9";"91,0";"926,9";"1,0";"90,0";"0,0";"";"";"";""
"14/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"14/01/2025";"1200";"19,8";"77,0";"928,0";"3,1";"110,0";"8,8";"";"";"14,9";"0,0"
"14/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"14/01/2025";"1800";"21,0";"74,0";"927,3";"3,1";"140,0";"10,0";"";"";"";""
"14/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"15/01/2025";"0000";"19,2";"83,0";"928,3";"4,1";"130,0";"10,0";"";"29,4";"";""
"15/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"15/01/2025";"0600";"18,8";"83,0";"927,0";"2,6";"80,0";"10,0";"";"";"";""
"15/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"15/01/2025";"1200";"22,3";"68,0";"929,2";"5,1";"60,0";"7,5";"";"";"18,4";"0,0"
"15/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"15/01/2025";"1800";"29,4";"52,0";"926,4";"4,6";"60,0";"6,3";"";"";"";""
"15/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"16/01/2025";"0000";"21,7";"83,0";"929,3";"4,6";"120,0";"10,0";"";"29,0";"";""
"16/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"16/01/2025";"0600";"20,8";"91,0";"928,7";"4,1";"70,0";"10,0";"";"";"";""
"16/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"16/01/2025";"1200";"22,4";"81,0";"930,6";"5,7";"60,0";"10,0";"";"";"20,6";"0,0"
"16/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"16/01/2025";"1800";"";"";"";"";"";"";"";"";"";""
"16/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"17/01/2025";"0000";"22,2";"96,0";"929,6";"3,1";"70,0";"10,0";"";"27,7";"";""
"17/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"17/01/2025";"0600";"20,8";"95,0";"929,2";"3,6";"80,0";"10,0";"";"";"";""
"17/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"17/01/2025";"1200";"25,4";"73,0";"930,8";"4,1";"40,0";"10,0";"";"";"20,5";"7,0"
"17/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"17/01/2025";"1800";"27,0";"65,0";"929,3";"1,5";"320,0";"8,8";"";"";"";""
"17/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
